"almeria","0","1","10","19","18","17"
"valladolid","1","2","12","16","18","17"
"osasuna","0","0","9","18","17","16"
"madrid","1","0","10","3","3","3"
"celta","1","2","12","15","18","15"
"valencia","0","1","8","9","8","8"
"betis","0","0","9","20","20","20"
"granada","1","2","10","14","11","10"
"athletic","0","2","9","4","4","4"
"villarreal","1","0","9","5","5","5"
"getafe","0","1","10","15","16","13"
"elche","1","2","10","13","14","14"
"atletico","0","0","9","2","3","3"
"levante","1","1","9","10","10","8"
"malaga","0","2","10","13","14","13"
"barcelona","1","0","8","2","3","3"
"sevilla","0","0","9","5","5","5"
"rayo","1","1","10","12","14","13"
"sociedad","0","0","9","7","6","6"
"almeria","1","0","9","19","19","19"
"valladolid","0","0","12","18","17","17"
"osasuna","1","1","12","19","16","15"
"madrid","0","0","12","3","3","3"
"almeria","0","1","0","0","0","0"
"sevilla","1","0","0","0","0","0"
"valencia","0","0","0","0","0","0"
"malaga","1","1","19","11","13","7"
"getafe","1","2","18","16","15","12"
"cordoba","0","1","11","20","19","18"
"sociedad","1","2","12","15","14","12"
"atletico","0","0","8","5","3","4"
"deportivo","1","1","11","15","20","17"
"elche","0","0","10","19","18","16"
"villarreal","1","1","13","8","8","6"
"athletic","0","0","12","11","11","15"
"levante","1","2","14","13","19","18"
"barcelona","0","0","12","2","2","2"
"granada","1","2","13","16","16","15"
"rayo","0","2","11","12","11","10"
"eibar","1","0","10","9","9","9"
"madrid","0","0","10","1","1","1"
"celta","1","2","10","9","9","8"
"almeria","1","2","9","18","17","15"
"sevilla","0","0","9","5","4","4"
"valencia","1","0","9","5","4","5"
"malaga","0","2","9","7","7","7"
"getafe","0","0","8","15","14","15"
"cordoba","1","2","9","20","20","19"
"sociedad","0","0","9","12","10","12"
"atletico","1","1","10","3","3","3"
"deportivo","0","1","9","17","16","15"
"elche","1","1","12","15","15","15"
"villarreal","0","2","12","6","6","6"
"athletic","1","2","9","8","8","8"
"levante","0","1","8","18","15","15"
"barcelona","1","0","10","1","1","1"
"granada","0","2","10","19","19","19"
"rayo","1","1","10","11","11","11"
"eibar","0","2","10","17","16","16"
"madrid","1","0","9","2","2","2"
"celta","0","0","9","11","10","9"
"getafe","1","2","0","0","0","0"
"villarreal","0","0","0","0","0","0"
"madrid","1","0","0","0","0","0"
"sociedad","0","2","12","16","12","9"
"valencia","1","2","8","7","8","10"
"deportivo","0","0","6","7","9","7"
"sporting","1","0","9","15","13","10"
"betis","0","2","10","8","10","14"
"rayo","0","0","9","15","15","11"
"granada","1","1","11","19","20","20"
"athletic","0","0","10","8","12","14"
"malaga","1","2","13","17","17","16"
"atletico","0","0","10","2","3","4"
"levante","1","1","12","20","19","20"
"celta","0","0","12","4","4","5"
"palmas","1","2","12","19","20","19"
"sevilla","0","0","12","8","7","10"
"barcelona","1","1","13","1","1","1"
"eibar","0","0","12","8","9","10"
"getafe","0","0","13","12","13","14"
"villarreal","1","1","14","4","4","4"
"madrid","0","0","13","3","3","3"
"sociedad","1","0","15","13","15","13"
"valencia","0","0","17","14","12","11"
"deportivo","1","2","17","9","9","9"
"sporting","0","2","16","17","16","16"
"betis","1","0","14","13","13","14"
"rayo","1","2","14","17","16","15"
"granada","0","1","14","18","18","19"
"athletic","1","2","14","6","6","7"
"malaga","0","1","12","8","9","12"
"atletico","1","0","13","2","2","2"
"levante","0","0","15","20","20","20"
"celta","1","1","15","6","5","5"
"palmas","0","0","15","13","11","10"
"sevilla","1","2","15","7","7","7"
"barcelona","0","0","14","1","1","1"
"eibar","1","2","15","12","12","12"
"sevilla","0","0","0","0","0","0"
"malaga","1","1","0","0","0","0"
"sociedad","0","1","0","0","0","0"
"madrid","0","0","15","1","3","2"
"osasuna","0","2","16","18","18","15"
"celta","1","0","15","17","19","20"
"villarreal","1","1","18","4","6","6"
"palmas","0","1","18","7","7","5"
"eibar","1","1","17","8","8","8"
"betis","0","2","16","12","16","15"
"athletic","1","1","12","7","6","6"
"alaves","0","2","13","12","15","13"
"leganes","1","2","12","15","17","16"
"atletico","0","1","12","4","6","4"
"sporting","1","2","12","18","18","18"
"barcelona","0","0","9","2","2","2"
"deportivo","1","1","9","15","16","16"
"valencia","0","0","11","16","17","17"
"granada","1","2","11","19","19","19"
"sevilla","1","2","9","2","2","2"
"malaga","0","2","9","15","15","13"
"sociedad","1","0","8","5","5","5"
"madrid","0","0","9","1","1","1"
"osasuna","1","2","10","20","20","20"
"celta","0","1","9","10","9","10"
"villarreal","0","0","9","6","6","6"
"palmas","1","2","9","12","12","12"
"eibar","0","1","9","8","8","7"
"betis","1","2","9","13","14","14"
"athletic","0","0","9","7","7","7"
"alaves","1","2","9","11","11","10"
"leganes","0","2","9","17","17","17"
"atletico","1","0","9","3","3","3"
"sporting","0","1","9","18","18","18"
"barcelona","1","0","9","2","2","2"
"deportivo","0","2","9","16","16","16"
"valencia","1","0","9","13","13","12"
"granada","0","2","10","20","19","19"
"sevilla","0","1","0","0","0","0"
"leganes","1","0","0","0","0","0"
"barcelona","0","0","0","0","0","0"
"celta","1","2","18","12","16","14"
"villarreal","0","1","16","7","13","19"
"deportivo","1","2","16","18","18","17"
"madrid","0","0","12","6","8","4"
"levante","1","1","14","10","9","5"
"sociedad","0","1","13","7","8","8"
